item,amount,units
10-34-00,200,lb
80-00-00,240,lb N
Yukon,6,oz
Prowl H20,3,pint
Lorban 15G,2,oz
Oberon 25C,7,floz
Corn,33,thou
Labor (Machine),3.36,hrs
Labor (non-machine),1.95,hrs
Fuel - Gas,0.6,gal
Fuel - Diesel,27.91,gal
Ground Application,1,acre
Harvest for Grain,5,ton
Haul Local,180,cwt
Water,44,acin
