state_fips,year,on_road,off_road,excise
19   ,2030,3.48,3.01,0.47
45   ,2015,3.51,3.1,0.4
09   ,2026,3.74,3.12,0.61
30   ,2029,3.46,2.94,0.52
15   ,2004,2.02,1.62,0.4
15   ,2005,2.57,2.16,0.4
50   ,2003,1.64,1.14,0.5
39   ,2023,3.48,2.96,0.52
19   ,2002,1.3,0.83,0.47
27   ,2029,3.48,3.04,0.44
08   ,2030,3.46,3.01,0.45
19   ,2006,2.67,2.2,0.47
40   ,2020,3.48,3.11,0.37
46   ,2019,3.48,3.02,0.46
18   ,2013,3.48,3.08,0.4
56   ,2014,3.46,3.07,0.38
36   ,2003,1.63,1.18,0.45
09   ,2024,3.74,3.12,0.61
01   ,2004,1.74,1.32,0.42
45   ,2017,3.51,3.1,0.4
39   ,2000,1.47,1.01,0.46
29   ,2023,3.48,3.07,0.41
55   ,2001,1.41,0.89,0.52
13   ,2011,3.51,3.19,0.32
35   ,2024,3.47,3,0.47
15   ,2011,3.58,3.18,0.4
38   ,2013,3.48,3.01,0.47
45   ,2012,3.51,3.1,0.4
39   ,2001,1.41,0.94,0.46
46   ,2021,3.48,3.02,0.46
41   ,2030,3.58,3.1,0.48
56   ,2028,3.46,3.07,0.38
15   ,2000,1.61,1.2,0.4
37   ,2018,3.51,2.96,0.54
35   ,2026,3.47,3,0.47
24   ,2005,2.5,2.01,0.49
33   ,2023,3.74,3.31,0.42
28   ,2018,3.47,3.05,0.42
17   ,2019,3.48,3.02,0.46
05   ,2002,1.28,0.81,0.47
46   ,2009,3.48,3.02,0.46
30   ,2027,3.46,2.94,0.52
51   ,2026,3.51,3.09,0.42
29   ,2015,3.48,3.07,0.41
40   ,2004,1.77,1.39,0.37
39   ,2012,3.48,2.96,0.52
12   ,2029,3.51,3.11,0.4
27   ,2027,3.48,3.04,0.44
49   ,2030,3.46,2.97,0.49
04   ,2003,1.61,1.11,0.5
18   ,2006,2.67,2.26,0.4
48   ,2018,3.47,3.03,0.44
40   ,2008,3.48,3.11,0.37
33   ,2017,3.74,3.31,0.42
34   ,2022,3.68,3.31,0.38
24   ,2011,3.68,3.2,0.49
31   ,2022,3.48,2.97,0.51
25   ,2030,3.74,3.28,0.45
33   ,2015,3.74,3.31,0.42
42   ,2002,1.4,0.84,0.56
44   ,2028,3.74,3.19,0.54
38   ,2001,1.41,0.95,0.45
19   ,2000,1.47,1,0.47
54   ,2030,3.51,2.95,0.56
17   ,2010,3.48,3.02,0.46
06   ,2005,2.6,2.18,0.42
53   ,2030,3.58,3,0.58
51   ,2024,3.51,3.09,0.42
29   ,2017,3.48,3.07,0.41
23   ,2030,3.74,3.22,0.52
45   ,2023,3.51,3.1,0.4
04   ,2026,3.58,3.16,0.42
48   ,2004,1.74,1.3,0.44
44   ,2014,3.74,3.19,0.54
38   ,2006,2.67,2.19,0.47
32   ,2013,3.58,3.07,0.51
19   ,2003,1.49,1.02,0.47
16   ,2004,1.86,1.37,0.49
17   ,2009,3.48,3.02,0.46
29   ,2012,3.48,3.07,0.41
39   ,2015,3.48,2.96,0.52
41   ,2007,3.04,2.56,0.48
10   ,2006,2.81,2.35,0.46
,2006,2.81,2.34,0.47
39   ,2017,3.48,2.96,0.52
06   ,2002,1.45,1.02,0.42
46   ,2010,3.48,3.02,0.46
,2007,2.97,2.5,0.47
33   ,2012,3.74,3.31,0.42
44   ,2016,3.74,3.19,0.54
16   ,2002,1.34,0.85,0.49
04   ,2024,3.58,3.16,0.42
34   ,2025,3.68,3.31,0.38
31   ,2025,3.48,2.97,0.51
31   ,2005,2.36,1.86,0.5
49   ,2007,2.98,2.49,0.49
23   ,2015,3.74,3.22,0.52
28   ,2009,3.47,3.05,0.42
53   ,2015,3.58,3,0.58
25   ,2017,3.74,3.28,0.45
47   ,2029,3.48,3.07,0.41
54   ,2015,3.51,2.95,0.56
12   ,2000,1.45,0.95,0.5
37   ,2009,3.51,2.96,0.54
28   ,2006,2.66,2.23,0.42
33   ,2030,3.74,3.31,0.42
34   ,2000,1.61,1.23,0.38
49   ,2017,3.46,2.97,0.49
17   ,2003,1.49,1.03,0.46
54   ,2017,3.51,2.95,0.56
25   ,2015,3.74,3.28,0.45
49   ,2015,3.46,2.97,0.49
41   ,2023,3.58,3.1,0.48
04   ,2008,3.58,3.16,0.42
29   ,2030,3.48,3.07,0.41
48   ,2021,3.47,3.03,0.44
23   ,2017,3.74,3.22,0.52
,2000,1.61,1.16,0.44
35   ,2020,3.47,3,0.47
53   ,2017,3.58,3,0.58
13   ,2022,3.51,3.19,0.32
56   ,2005,2.44,2.06,0.38
15   ,2022,3.58,3.18,0.4
54   ,2012,3.51,2.95,0.56
40   ,2024,3.48,3.11,0.37
48   ,2019,3.47,3.03,0.44
20   ,2013,3.48,2.98,0.5
08   ,2002,1.34,0.89,0.45
23   ,2012,3.74,3.22,0.52
09   ,2020,3.74,3.12,0.61
05   ,2027,3.47,3,0.47
38   ,2005,2.36,1.88,0.47
53   ,2012,3.58,3,0.58
13   ,2025,3.51,3.19,0.32
15   ,2025,3.58,3.18,0.4
28   ,2010,3.47,3.05,0.42
39   ,2030,3.48,2.96,0.52
08   ,2023,3.46,3.01,0.45
51   ,2008,3.51,3.09,0.42
25   ,2012,3.74,3.28,0.45
10   ,2027,3.68,3.22,0.46
21   ,2006,2.67,2.26,0.41
19   ,2023,3.48,3.01,0.47
40   ,2026,3.48,3.11,0.37
23   ,2003,1.64,1.19,0.45
49   ,2012,3.46,2.97,0.49
37   ,2010,3.51,2.96,0.54
34   ,2003,1.63,1.25,0.38
38   ,2021,3.48,3.01,0.47
46   ,2013,3.48,3.02,0.46
18   ,2019,3.48,3.08,0.4
16   ,2001,1.45,0.96,0.49
44   ,2003,1.64,1.1,0.54
39   ,2028,3.48,2.96,0.52
29   ,2016,3.48,3.07,0.41
13   ,2026,3.51,3.19,0.32
15   ,2026,3.58,3.18,0.4
33   ,2014,3.74,3.31,0.42
15   ,2024,3.58,3.18,0.4
13   ,2024,3.51,3.19,0.32
35   ,2011,3.47,3,0.47
33   ,2000,1.62,1.18,0.44
09   ,2001,1.49,1.07,0.42
32   ,2010,3.58,3.07,0.51
29   ,2014,3.48,3.07,0.41
33   ,2016,3.74,3.31,0.42
44   ,2012,3.74,3.19,0.54
40   ,2025,3.48,3.11,0.37
10   ,2000,1.61,1.14,0.46
29   ,2028,3.48,3.07,0.41
09   ,2011,3.74,3.12,0.61
48   ,2005,2.35,1.91,0.44
26   ,2000,1.47,1.08,0.39
50   ,2005,2.51,2.02,0.49
39   ,2016,3.48,2.96,0.52
37   ,2004,1.75,1.26,0.49
44   ,2005,2.51,1.97,0.54
02   ,2006,2.87,2.55,0.32
34   ,2008,3.68,3.31,0.38
17   ,2013,3.48,3.02,0.46
,2027,3.68,3.22,0.47
31   ,2008,3.48,2.97,0.51
48   ,2001,1.35,0.9,0.44
44   ,2017,3.74,3.19,0.54
32   ,2009,3.58,3.07,0.51
56   ,2023,3.46,3.07,0.38
40   ,2022,3.48,3.11,0.37
10   ,2004,1.9,1.44,0.46
21   ,2018,3.48,3.06,0.42
39   ,2014,3.48,2.96,0.52
27   ,2004,1.77,1.32,0.44
33   ,2028,3.74,3.31,0.42
44   ,2015,3.74,3.19,0.54
55   ,2018,3.48,2.94,0.54
38   ,2019,3.48,3.01,0.47
18   ,2002,1.3,0.9,0.4
18   ,2021,3.48,3.08,0.4
54   ,2016,3.51,2.95,0.56
28   ,2013,3.47,3.05,0.42
01   ,2023,3.47,3.02,0.45
31   ,2024,3.48,2.97,0.51
10   ,2005,2.5,2.03,0.46
34   ,2024,3.68,3.31,0.38
04   ,2025,3.58,3.16,0.42
22   ,2029,3.47,3.03,0.44
24   ,2020,3.68,3.2,0.49
20   ,2004,1.77,1.26,0.5
42   ,2029,3.68,3.06,0.63
23   ,2016,3.74,3.22,0.52
33   ,2003,1.64,1.22,0.42
49   ,2014,3.46,2.97,0.49
02   ,2023,3.58,3.26,0.32
40   ,2001,1.41,1.02,0.38
26   ,2027,3.48,3.09,0.39
25   ,2014,3.74,3.28,0.45
53   ,2016,3.58,3,0.58
36   ,2027,3.68,3.21,0.47
37   ,2013,3.51,2.96,0.54
55   ,2019,3.48,2.94,0.54
38   ,2018,3.48,3.01,0.47
16   ,2023,3.46,2.96,0.49
51   ,2022,3.51,3.09,0.42
20   ,2010,3.48,2.98,0.5
54   ,2014,3.51,2.95,0.56
53   ,2003,1.61,1.09,0.52
53   ,2006,2.87,2.29,0.58
21   ,2019,3.48,3.06,0.42
53   ,2014,3.58,3,0.58
25   ,2016,3.74,3.28,0.45
46   ,2003,1.49,1.02,0.46
47   ,2000,1.47,1.06,0.41
23   ,2014,3.74,3.22,0.52
34   ,2026,3.68,3.31,0.38
49   ,2016,3.46,2.97,0.49
31   ,2026,3.48,2.97,0.51
20   ,2009,3.48,2.98,0.5
21   ,2021,3.48,3.06,0.42
51   ,2025,3.51,3.09,0.42
53   ,2028,3.58,3,0.58
10   ,2007,2.97,2.5,0.46
06   ,2023,3.63,3.21,0.42
23   ,2028,3.74,3.22,0.52
55   ,2021,3.48,2.94,0.54
44   ,2030,3.74,3.19,0.54
24   ,2002,1.4,0.91,0.49
54   ,2028,3.51,2.95,0.56
18   ,2018,3.48,3.08,0.4
05   ,2006,2.66,2.19,0.47
49   ,2028,3.46,2.97,0.49
04   ,2022,3.58,3.16,0.42
08   ,2000,1.53,1.08,0.45
40   ,2006,2.67,2.29,0.37
34   ,2005,2.5,2.12,0.38
25   ,2028,3.74,3.28,0.45
26   ,2007,2.86,2.47,0.39
50   ,2023,3.74,3.24,0.49
13   ,2008,3.51,3.19,0.32
15   ,2008,3.58,3.18,0.4
36   ,2002,1.4,0.95,0.45
22   ,2027,3.47,3.03,0.44
06   ,2015,3.63,3.21,0.42
50   ,2017,3.74,3.24,0.49
02   ,2012,3.58,3.26,0.32
55   ,2009,3.48,2.94,0.54
19   ,2014,3.48,3.01,0.47
26   ,2029,3.48,3.09,0.39
36   ,2029,3.68,3.21,0.47
01   ,2012,3.47,3.02,0.45
20   ,2021,3.48,2.98,0.5
42   ,2027,3.68,3.06,0.63
08   ,2014,3.46,3.01,0.45
21   ,2009,3.48,3.06,0.42
47   ,2006,2.67,2.25,0.41
19   ,2016,3.48,3.01,0.47
32   ,2018,3.58,3.07,0.51
33   ,2001,1.49,1.05,0.44
35   ,2025,3.47,3,0.47
09   ,2022,3.74,3.12,0.61
41   ,2028,3.58,3.1,0.48
56   ,2030,3.46,3.07,0.38
06   ,2017,3.63,3.21,0.42
40   ,2011,3.48,3.11,0.37
40   ,2005,2.36,1.98,0.37
45   ,2006,2.67,2.27,0.4
08   ,2016,3.46,3.01,0.45
53   ,2007,3.04,2.46,0.58
16   ,2012,3.46,2.96,0.49
24   ,2008,3.68,3.2,0.49
50   ,2015,3.74,3.24,0.49
15   ,2020,3.58,3.18,0.4
13   ,2020,3.51,3.19,0.32
35   ,2022,3.47,3,0.47
01   ,2015,3.47,3.02,0.45
09   ,2025,3.74,3.12,0.61
27   ,2003,1.49,1.04,0.44
06   ,2012,3.63,3.21,0.42
