item,amount,units
Roundup,18,oz
Pursuit,3,oz
Prowl,24,oz
Ammonium Sulfate,100,oz
M90,3,oz
Dimethoate,1,pt
Lentil Seed,45,lb
Labor (Machine),0.95,acre
Fuel,7.74,gal
Lubricants,1,acre
Repair,1,acre
Rental Sprayer,2,acre
Custom Aerial Spray,1,acre
