item,amount,units
80-0-0,140,lb N
Yukon,6,oz
Prowl H20,3,pint
Lorsban 15G,2,oz
Lorsban 4E,1,pint
Sorghum,10,lb
Labor (Machine),1.67,hr
Labor (non-machine),0.5,hr
Fuel - Gas,0.95,gal
Fuel - Diesel,7.52,gal
Lube,1,
Repair,1,
Plant,1,
Injection-Sidedress NH3,1,
Harvest Combine Grain,4,
Harvest: Haul Grain,4,
Water,30,acin
