item,amount,units
Nitrogen (dry),120,lb
Disyston,147.36,GAL
Karmex,6.05,lb
Sencor,13,lb
Sevin XLR Plus,35,GAL
Treflan FP,20,GAL
Spot Spray Roundup,36,GAL
Wheat,90,lb
Fuel - Diesel,10.93,gal
