item,amount,units
10-34-00,200,lb
80-00-00,180,lb N
Yukon,6,oz
Prowl H20,3,pint
Corn,33,thou
Labor (Machine),1.85,hrs
Labor (non-machine),0.9,hrs
Fuel - Gas,0.6,gal
Fuel - Diesel,10.98,gal
Ground Application,1,acre
Harvest,26,ton
Plant,1,acre
Water,44,acin
