item,amount,units
Custom Combining,1,acre
Nitrogen (dry),24,lb
Phosphorous (dry),70,lb
Sulfur (dry),20,lb
Barley Seed,80,lb
Labor (Machine),1.62,acre
Fuel,6.14,gal
Lubricants,1,acre
Repair,1,acre
Custom Fertilize,1,acre
