item,amount,units
11-52-0,39.99,
Dry Sulfur,0.03,
Rodent Control,1,
Insecticide,1,
Weed Control,0.75,
Labor (Machine),5.04,
Labor (non-machine),5.7695,
Haul and Stack,4.5,
