item,amount,units
Nitrogen (dry),90,lb
Phosphorous (dry),30,lb
Sulfur (dry),10,lb
Brox M,1.6,oz
Excel 90,3.2,oz
Osprey,4.75,oz
Starane-Salvo,22,oz
Wheat,90,lb
Labor (Machine),1.3,hr
Fuel - Diesel,8.08,gal
Maintenance,1,acre
Repair,1,acre
Sprayer,1,acre
Riper Shooter,1,acre
