budget_id,commodity,location,phase,material,unit,amount
,80-0-0,CA,,,lb N,140
,Yukon,CA,,,oz,6
,Prowl H20,CA,,,pint,3
,Lorsban 15G,CA,,,oz,2
,Lorsban 4E,CA,,,pint,1
,Sorghum,CA,,,lb,10
,Labor (Machine),CA,,,hr,1.67
,Labor (non-machine),CA,,,hr,0.5
,Fuel - Gas,CA,,,gal,0.95
,Fuel - Diesel,CA,,,gal,7.52
,Lube,CA,,,,1
,Repair,CA,,,,1
,Plant,CA,,,,1
,Injection-Sidedress NH3,CA,,,,1
,Harvest Combine Grain,CA,,,,4
,Harvest: Haul Grain,CA,,,,4
,Water,CA,,,acin,30
,oes452091,CA,,,hours,1.67
,oes452092,CA,,,hours,0.5
