state,length,width,height,gvw,sales_tax,y2000_onroad,y2000_excise,y2000_offroad,y2001_onroad,y2001_excise,y2001_offroad,y2002_onroad,y2002_excise,y2002_offroad,y2003_onroad,y2003_excise,y2003_offroad,y2004_onroad,y2004_excise,y2004_offroad,y2005_onroad,y2005_excise,y2005_offroad,y2006_onroad,y2006_excise,y2006_offroad,y2007_onroad,y2007_excise,y2007_offroad,y2008_onroad,y2008_excise,y2008_offroad,y2009_onroad,y2009_excise,y2009_offroad,y2010_onroad,y2010_excise,y2010_offroad,y2011_onroad,y2011_excise,y2011_offroad,y2012_onroad,y2012_excise,y2012_offroad,y2013_onroad,y2013_excise,y2013_offroad,y2014_onroad,y2014_excise,y2014_offroad,y2015_onroad,y2015_excise,y2015_offroad,y2016_onroad,y2016_excise,y2016_offroad,y2017_onroad,y2017_excise,y2017_offroad,y2018_onroad,y2018_excise,y2018_offroad,y2019_onroad,y2019_excise,y2019_offroad,y2020_onroad,y2020_excise,y2020_offroad,y2021_onroad,y2021_excise,y2021_offroad,y2022_onroad,y2022_excise,y2022_offroad,y2023_onroad,y2023_excise,y2023_offroad,y2024_onroad,y2024_excise,y2024_offroad,y2025_onroad,y2025_excise,y2025_offroad,y2026_onroad,y2026_excise,y2026_offroad,y2027_onroad,y2027_excise,y2027_offroad,y2028_onroad,y2028_excise,y2028_offroad,y2029_onroad,y2029_excise,y2029_offroad,y2030_onroad,y2030_excise,y2030_offroad
Pennsylvania,,,,80000,6.00,1.61,0.55,1.05,1.48,0.55,0.92,1.40,0.56,0.84,1.63,0.55,1.08,1.90,0.56,1.35,2.50,0.61,1.89,2.81,0.63,2.19,2.97,0.63,2.34,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06,3.68,0.63,3.06
Rhode Island,,,,80000,7.00,1.62,0.53,1.08,1.49,0.53,0.96,1.40,0.53,0.87,1.64,0.54,1.10,1.92,0.54,1.38,2.51,0.54,1.97,2.82,0.54,2.27,2.98,0.54,2.44,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19,3.74,0.54,3.19
South Carolina,,,,80000,6.00,1.45,0.40,1.05,1.35,0.40,0.94,1.28,0.40,0.87,1.47,0.40,1.07,1.75,0.40,1.35,2.36,0.40,1.95,2.67,0.40,2.27,2.83,0.40,2.43,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10,3.51,0.40,3.10
South Dakota,,,,,4.00,1.47,0.46,1.01,1.41,0.46,0.94,1.30,0.46,0.84,1.49,0.46,1.02,1.77,0.46,1.30,2.36,0.46,1.89,2.67,0.46,2.20,2.86,0.46,2.40,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02,3.48,0.46,3.02
Tennessee,,,,80000,7.00,1.47,0.41,1.06,1.41,0.41,0.99,1.30,0.41,0.89,1.49,0.41,1.07,1.77,0.41,1.35,2.36,0.41,1.94,2.67,0.41,2.25,2.86,0.41,2.45,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07
Texas,110,8.5,14,80000,6.25,1.44,0.44,1.00,1.35,0.44,0.90,1.28,0.44,0.83,1.45,0.44,1.01,1.74,0.44,1.30,2.35,0.44,1.91,2.66,0.44,2.21,2.82,0.44,2.38,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03
Utah,,,,129000,4.65,1.53,0.49,1.04,1.45,0.49,0.96,1.34,0.49,0.85,1.53,0.48,1.05,1.86,0.48,1.38,2.44,0.49,1.96,2.76,0.49,2.27,2.98,0.49,2.49,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97,3.46,0.49,2.97
Vermont,,,,80000,6.00,1.62,0.50,1.11,1.49,0.50,0.99,1.40,0.50,0.90,1.64,0.50,1.14,1.92,0.50,1.42,2.51,0.49,2.02,2.82,0.49,2.32,2.98,0.49,2.49,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24,3.74,0.49,3.24
Virginia,,,,80000,5.00,1.45,0.40,1.05,1.35,0.40,0.94,1.28,0.40,0.87,1.47,0.40,1.07,1.75,0.40,1.35,2.36,0.40,1.95,2.67,0.40,2.27,2.83,0.42,2.41,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09,3.51,0.42,3.09
Washington,,,,105500,6.50,1.61,0.47,1.13,1.50,0.47,1.02,1.40,0.47,0.93,1.61,0.52,1.09,2.02,0.52,1.50,2.57,0.55,2.01,2.87,0.58,2.29,3.04,0.58,2.46,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00,3.58,0.58,3.00
West Virginia,,,,80000,6.00,1.45,0.50,0.95,1.35,0.50,0.85,1.28,0.50,0.78,1.47,0.49,0.98,1.75,0.49,1.26,2.36,0.51,1.84,2.67,0.51,2.16,2.83,0.56,2.27,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95,3.51,0.56,2.95
Wisconsin,,,,80000,5.00,1.47,0.51,0.96,1.41,0.52,0.89,1.30,0.52,0.78,1.49,0.52,0.96,1.77,0.53,1.23,2.36,0.54,1.82,2.67,0.54,2.13,2.86,0.54,2.32,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94,3.48,0.54,2.94
Wyoming,,,,117000,4.00,1.53,0.38,1.14,1.45,0.38,1.07,1.34,0.38,0.96,1.53,0.38,1.15,1.86,0.38,1.48,2.44,0.38,2.06,2.76,0.38,2.37,2.98,0.38,2.60,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07,3.46,0.38,3.07
