state,length,width,height,gvw,sales_tax,y2000_onroad,y2000_excise,y2000_offroad,y2001_onroad,y2001_excise,y2001_offroad,y2002_onroad,y2002_excise,y2002_offroad,y2003_onroad,y2003_excise,y2003_offroad,y2004_onroad,y2004_excise,y2004_offroad,y2005_onroad,y2005_excise,y2005_offroad,y2006_onroad,y2006_excise,y2006_offroad,y2007_onroad,y2007_excise,y2007_offroad,y2008_onroad,y2008_excise,y2008_offroad,y2009_onroad,y2009_excise,y2009_offroad,y2010_onroad,y2010_excise,y2010_offroad,y2011_onroad,y2011_excise,y2011_offroad,y2012_onroad,y2012_excise,y2012_offroad,y2013_onroad,y2013_excise,y2013_offroad,y2014_onroad,y2014_excise,y2014_offroad,y2015_onroad,y2015_excise,y2015_offroad,y2016_onroad,y2016_excise,y2016_offroad,y2017_onroad,y2017_excise,y2017_offroad,y2018_onroad,y2018_excise,y2018_offroad,y2019_onroad,y2019_excise,y2019_offroad,y2020_onroad,y2020_excise,y2020_offroad,y2021_onroad,y2021_excise,y2021_offroad,y2022_onroad,y2022_excise,y2022_offroad,y2023_onroad,y2023_excise,y2023_offroad,y2024_onroad,y2024_excise,y2024_offroad,y2025_onroad,y2025_excise,y2025_offroad,y2026_onroad,y2026_excise,y2026_offroad,y2027_onroad,y2027_excise,y2027_offroad,y2028_onroad,y2028_excise,y2028_offroad,y2029_onroad,y2029_excise,y2029_offroad,y2030_onroad,y2030_excise,y2030_offroad
Louisiana,,,,88000,4.00,1.44,0.44,1.00,1.35,0.44,0.90,1.28,0.44,0.83,1.45,0.44,1.01,1.74,0.44,1.30,2.35,0.44,1.91,2.66,0.44,2.21,2.82,0.44,2.38,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03,3.47,0.44,3.03
Maine,,,,100000,5.00,1.62,0.47,1.14,1.49,0.47,1.02,1.40,0.47,0.93,1.64,0.45,1.19,1.92,0.50,1.42,2.51,0.51,2.00,2.82,0.51,2.30,2.98,0.52,2.46,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22,3.74,0.52,3.22
Maryland,,,,80000,6.00,1.61,0.49,1.12,1.48,0.49,0.99,1.40,0.49,0.91,1.63,0.48,1.15,1.90,0.48,1.42,2.50,0.49,2.01,2.81,0.49,2.33,2.97,0.49,2.48,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20,3.68,0.49,3.20
Massachusetts,,,,,5.00,1.62,0.45,1.16,1.49,0.45,1.04,1.40,0.45,0.95,1.64,0.45,1.19,1.92,0.45,1.47,2.51,0.45,2.06,2.82,0.45,2.36,2.98,0.45,2.53,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28,3.74,0.45,3.28
Michigan,,,,160001,6.00,1.47,0.39,1.08,1.41,0.39,1.01,1.30,0.39,0.91,1.49,0.39,1.09,1.77,0.39,1.37,2.36,0.39,1.96,2.67,0.39,2.27,2.86,0.39,2.47,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09,3.48,0.39,3.09
Minnesota,75,8.5,13.5,80000,6.50,1.47,0.44,1.03,1.41,0.44,0.96,1.30,0.44,0.86,1.49,0.44,1.04,1.77,0.44,1.32,2.36,0.44,1.91,2.67,0.44,2.22,2.86,0.44,2.42,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04,3.48,0.44,3.04
Mississippi,,,,80000,7.00,1.44,0.43,1.01,1.35,0.43,0.92,1.28,0.43,0.85,1.45,0.43,1.02,1.74,0.43,1.32,2.35,0.43,1.92,2.66,0.42,2.23,2.82,0.42,2.40,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05,3.47,0.42,3.05
Missouri,,,,80000,4.23,1.47,0.41,1.06,1.41,0.41,0.99,1.30,0.41,0.89,1.49,0.41,1.07,1.77,0.41,1.35,2.36,0.41,1.94,2.67,0.41,2.25,2.86,0.41,2.45,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07,3.48,0.41,3.07
Montana,,,,132000,0.00,1.53,0.52,1.01,1.45,0.52,0.93,1.34,0.52,0.82,1.53,0.52,1.01,1.86,0.52,1.34,2.44,0.52,1.92,2.76,0.52,2.23,2.98,0.52,2.46,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94,3.46,0.52,2.94
Nebraska,,,,94000,5.50,1.47,0.48,0.99,1.41,0.49,0.92,1.30,0.49,0.81,1.49,0.49,1.00,1.77,0.49,1.28,2.36,0.50,1.86,2.67,0.51,2.16,2.86,0.51,2.35,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97,3.48,0.51,2.97
