item,amount,units
16-16-16,200,lb
40-0-0-6,100,lb
MCPA Amine,0.1875,lb
Transport to PDX,65,bu
Labor (Machine),0.6798,hr
Labor (non-machine),0.2106,hr
Fuel - Diesel,10.7117,gal
Maintenance and Repair,1,
