operation,material,amount,unit


herbicide - dormant,Tractor and sprayer,8,h/100.[acr_us]
herbicide - dormant,Glyphosate,200,[qt_us]/100.[acr_us]
herbicide - dormant,Trifluralin,200,[qt_us]/100.[acr_us]

herbicide - post emergent,Laborer,12*8,h/100.[acr_us]
herbicide - post emergent,Trifluralin,200,[qt_us]/100.[acr_us]
herbicide - post emergent,
