unit,description
[acr_us],Acre
[acr_us]/[acr_us],
[acr_us].[in_us],Acre Inch
bag,Bag
bale,Bale
box,Box
[bu_us],Bushel
each,Each
[foz_us],Fluid Oz
[gal_us],Gallon
h,Hour
hive,Bee hive
[lb_av],Pound
oz,Remove
[oz_av],Ounce
[pt_us],Pint
[qt_us],Quart
[scwt_av],U.S. Hundredweight
[scwt_av]/[acr_us],
[ston_av],U.S. Ton
thou,Thousand
unit,Unit
us$,US Dollar
us$/[scwt_av],
