fips,irrigated_yield,nonirrigated_yield,irrigation (cm/acre),irrigation (feet/acre)
6045,31.59,15.94,290.31,9.524606604
16075,17.41,5.24,282.84,9.279527856
6017,24.65,12.26,265.94,8.725065896
30063,12.86,7.05,114.72,3.763779648
53013,18.4,10.85,199.67,6.550853228
6061,24.15,10.68,274.46,9.004593464
6051,13.64,1.97,329.78,10.81955415
6093,19.68,7.15,261.98,8.595144632
30029,10.63,6.99,79.2,2.59842528
30001,8.08,4.79,88.59,2.906496156
16039,15.64,3.96,261.93,8.593504212
53071,20.17,9.62,251.19,8.241141996
6023,30.31,16.84,240.21,7.880905764
16085,9.62,4.42,133.6,4.38320224
30039,11.18,6.31,104.94,3.442913496
6001,40.01,13.14,387.71,12.72014476
6057,22.91,11.12,260.34,8.541338856
41055,20.69,5.23,303.9,9.97047276
16027,17.8,3.86,305.3,10.01640452
16013,12.9,3.2,220.72,7.241470048
41005,22.12,16.88,116.18,3.811679912
16087,17.42,6.11,226.37,7.426837508
41041,30.11,25.68,112.96,3.706036864
6089,21.62,12.33,230.97,7.577756148
41029,21.44,9.16,236.86,7.770997624
41065,19.81,6.06,266.02,8.727690568
6019,9.98,1.57,237.47,7.791010748
6113,28.86,11.99,355.33,11.65780877
53039,19.72,6.07,283.51,9.301509484
41009,24.1,18.84,128.05,4.20111562
41019,25.23,15.94,186.47,6.117782348
6103,22.57,10.96,262.86,8.624016024
16023,11.7,3.46,195.59,6.416994956
30081,10.64,5.58,113.05,3.70898962
16045,18.16,6.54,245.11,8.041666924
53067,24.24,18.38,108.35,3.55479014
16001,17.85,4.29,297.66,9.765748344
30073,9.23,6.44,59.99,1.968175916
53011,23.15,19.89,100.46,3.295931864
6091,18.71,6.73,264.04,8.662729936
41039,25.15,17.74,152.61,5.006889924
16083,15.38,3.45,265.17,8.699803428
41063,14.45,7.68,157.67,5.172900428
53043,15.84,4.93,245.95,8.06922598
53005,21.21,4.08,328.03,10.76213945
30035,11,7.55,80.46,2.639763864
53059,19.84,15.04,98.42,3.229002728
6055,31.1,13.34,327.69,10.7509846
53041,20.88,17.51,87.77,2.879593268
16047,17.2,3.13,317.85,10.42814994
6005,27.27,13.08,290.84,9.541995056
16057,15.66,10.76,145.28,4.766404352
30047,14.8,8.09,119.24,3.912073616
32009,15.37,2.06,402.11,13.19258572
16015,14.53,5.63,186.26,6.110892584
6105,21.19,9.44,250.02,8.202756168
32510,0.05,0.05,0,0
41061,15.01,8.44,170.37,5.589567108
53049,25.24,24.71,53.75,1.7634515
53051,15.01,10.89,105,3.444882
16017,15.81,10.41,113.98,3.739501432
32013,16.2,2.65,299.01,9.810039684
6003,15.64,3.43,262.76,8.620735184
53000,28.34,15.33,145.38,4.769685192
32007,13.19,3.71,227.15,7.45242806
41047,24.37,17.6,141.47,4.641404348
53021,19.99,5.13,308.65,10.12631266
41057,28.78,26.92,81.15,2.66240166
16061,16.04,11.34,138.55,4.54560382
41015,32.25,23.13,177.43,5.821194412
41007,26.29,25.15,67.79,2.224081436
6099,28.74,9.65,382.73,12.55675893
41025,15.44,3.07,278.62,9.141076408
41067,25.87,18.77,152.76,5.011811184
16021,14.98,10.14,103.18,3.385170712
16035,15.29,11.07,107.65,3.53182426
53007,17.09,5.58,193.12,6.335958208
30049,8.46,6,53.8,1.76509192
30099,8.5,6.13,46.5,1.5255906
53027,26.02,25.49,46.14,1.513779576
53035,26.6,16.55,116.05,3.80741482
6013,36.49,12.84,380.92,12.49737573
41051,24.45,19.81,114.87,3.768700908
6009,27.21,12.82,295.13,9.682743092
6033,27.89,12.08,310.8,10.19685072
16049,12.05,8.05,94.98,3.116141832
6115,26.99,13.72,292.06,9.582021304
41069,16.64,5.57,231.44,7.593176096
16079,16.28,11.6,100.6,3.30052504
6063,17.65,6.07,267.76,8.784777184
53055,30.06,14.04,189.35,6.21227054
6049,16.37,3.93,278.91,9.150590844
41011,30.92,22.28,170.86,5.605643224
16063,15.85,2.71,308.74,10.12926542
53019,14.03,6.56,162.85,5.34284794
53047,15.67,5.2,192.7,6.32217868
