state_fips,sales_tax
01   ,4
02   ,0
04   ,5.6
05   ,6
06   ,7.25
08   ,2.9
09   ,6
10   ,0
,5.75
12   ,6
13   ,4
15   ,4
16   ,6
17   ,6.25
18   ,6
19   ,5
20   ,5.3
21   ,6
22   ,4
23   ,5
24   ,6
25   ,5
26   ,6
27   ,6.5
28   ,7
29   ,4.23
30   ,0
31   ,5.5
32   ,6.5
33   ,0
34   ,7
35   ,5
36   ,4
37   ,4.25
38   ,5
39   ,5.5
40   ,4.5
41   ,0
42   ,6
44   ,7
45   ,6
46   ,4
47   ,7
48   ,6.25
49   ,4.65
50   ,6
51   ,5
53   ,6.5
54   ,6
55   ,5
56   ,4
