item,amount,units
Labor (Machine),100,hr
Fuel - Diesel,13,gal
Sawdust,3.67,units
Harvest,16200,lbs
Labor (Machine),100,hr
Fuel - Diesel,13,gal
Sawdust,3.67,units
Harvest,16200,lbs
