item,amount,units
Pursuit,3,oz
Prowl,24,oz
Ammonium Sulfate,50,oz
M90,1.5,oz
Dimethoate,1,pt
Far-GO,1,qt
Lentil Seed,45,lb
Labor (Machine),1.2,acre
Fuel,7.1,gal
Lubricants,1,acre
Repair,1,acre
Rental Sprayer,1,acre
Custom Aerial Spray,1,acre
Crop Insurance,1,acre
