item,amount,units
80-0-0,140,lb N
Clarity,1,pint
Prowl H20,3,pint
Susan Seed,150,lb
Labor (Machine),1.02,hr
Labor (non-machine),0.5,hr
Fuel - Gas,0.95,gal
Fuel - Diesel,4.79,gal
Lube,1,
Repair,1,
Plant,1,acre
Injection-Sidedress,1,acre
Swath,2,acre
Rake,2,acre
Bale,100,bales
Roadside Bales,100,bales
Water,28,acin
