item,amount,units
Dry Nitrogen,25,lb
Dry P2O5,50,lb
K2O,30,lb
Zinc,5,lb
Sonalan HFP,2.5,pt
Eptam 7EC,3.5,pt
Labor (Machine),1.75,hr
Labor (Irrigation),0.76,hr
Labor (other),0.3,hr
Fuel - Gas,1.5,gal
Fuel - Diesel,10.6,gal
Lubricants,1,acre
Repair,1,acre
Custom Fertilize,1,acre
Cut/Windrow,1,acre
Combine,25,acre
Irrigation,19,acin
Storage Operating Costs,25,cwt
