material,location,phase,operation,commodity,unit,amount
Ammonium Sulfate,OR,,Pest Control,"CORN, GRAIN",[lb_av],2
Assesment,OR,,Pest Control,"CORN, GRAIN",[scwt_av],129
Corn Seed,OR,,,"CORN, GRAIN",bag,0.65
Counter 15G L-N-L,OR,,Pest Control,"CORN, GRAIN",[lb_av],8
Dry Nitrogen,OR,,,"CORN, GRAIN",[lb_av],200
Dry P2O5,OR,,,"CORN, GRAIN",[lb_av],60
Fuel - Diesel,OR,,,"CORN, GRAIN",[gal_us],13
Haul Local,OR,,,"CORN, GRAIN",[scwt_av],129
K20,OR,,,"CORN, GRAIN",[lb_av],100
Labor (Machine),OR,,,"CORN, GRAIN",h,2.6
Labor (non-machine),OR,,,"CORN, GRAIN",h,4.25
Micro-Tech,OR,,Pest Control,"CORN, GRAIN",[qt_us],2
oes452091,OR,,,"CORN, GRAIN",h,2.6
oes452092,OR,,,"CORN, GRAIN",h,4.25
Roundup Original Max,OR,,Pest Control,"CORN, GRAIN",[foz_us],40
Seed Test,OR,,,"CORN, GRAIN",[scwt_av],129
Sulfur,OR,,,"CORN, GRAIN",[lb_av],30
