material,location,phase,operation,commodity,unit,amount
Fuel - Diesel,OR,,,BLUEBERRIES,[gal_us],13
Harvest,OR,,,BLUEBERRIES,[lb_av],16200
Labor (Machine),OR,,,BLUEBERRIES,h,100
oes452091,OR,,,BLUEBERRIES,h,100
oes452092,OR,,,BLUEBERRIES,h,0
Sawdust,OR,,,BLUEBERRIES,unit,3.67
