item,amount,units
Nitrogen,76,lb
Phosphorous,10,lb
Sulfur,10.5,lb
2,4-D,10,oz
Maverick1,0.33,oz
Discover,3.2,oz
Wheat,70,lb
Labor (Machine),0.6412,acre
Fuel - Diesel,4.3828,gal
Maintenance and Repair,1,acre
Rental Sprayer,2,acre
Rental Fertilizer Applicator,1,acre
