item,amount,units
16-16-16,200,lb
40-0-0-6,235,lb
0-0-60,40,lb
Apogee,0.5,lb
Surfactant-Induce,0.15,gal
Axiom LB,0.75,lb
Goal,0.05,gal
Diuron,2,lb
Kerb,0.4,lb.
Bravo,0.5,gal
Banvel,0.125,gal
2,4-D,0.2,gal
Labor (Machine),1.0905,hr
Labor (non-machine),0.1936,hr
Fuel - Diesel,8.5001,gal
Maintenance and Repair,1,
Clean Seed Orchdgr,8,cwt
Commision Assess,8,cwt
Seed Test,8,cwt
